,created_at,text,user_loc,user_loc2,user_id,user_hist,hashtags
3459,Thu Jun 23 00:44:23 +0000 2016,"RT @LordCarlG: Nobody I personally know is voting ""in""Everyone us #VoteLeave #Brexit https://t.co/rNgfiZVY3P",Kandahar ➡ Melbourne,,4445135416,Fri Dec 11 05:16:48 +0000 2015,VoteLeave;Brexit
3460,Thu Jun 23 00:44:23 +0000 2016,The latest The UX Betty Daily! https://t.co/g6aHCWQvAW Thanks to @CACMmag #brexit #ad,NYC,,294905318,Sun May 08 00:43:41 +0000 2011,brexit;ad
3461,Thu Jun 23 00:44:23 +0000 2016,To put an old English GCSE term to use - this is 'pathetic fallacy' if ever I saw it... #EUref #storm,,,1400837030,Fri May 03 22:01:30 +0000 2013,EUref;storm
3462,Thu Jun 23 00:44:24 +0000 2016,@defencepk Vote Leave #Brexit,"Wales, United Kingdom",,740471808365854720,Wed Jun 08 09:13:31 +0000 2016,Brexit
3463,Thu Jun 23 00:44:24 +0000 2016,"In the Science of Civilizations, Brexit Is the European Union’s Reckoning https://t.co/EoAHM9fBOe","Dallas, TX",,2830007016,Wed Sep 24 15:10:03 +0000 2014,
3464,Thu Jun 23 00:44:24 +0000 2016,RT @Prof_IeuanEllis: 103 UK #University leaders confirm support for #RemainINEU. Huge benefit for UK from EU students &amp; EU research. https:…,United Kingdom,,831265092,Tue Sep 18 15:20:21 +0000 2012,University;RemainINEU
3465,Thu Jun 23 00:44:24 +0000 2016,Soros Expects UK Currency and Economic Troubles With Brexit  https://t.co/FoK7FLJuJb #Investing #Investors #News,International,,1537737308,Sat Jun 22 02:04:49 +0000 2013,Investing;Investors;News
3466,Thu Jun 23 00:44:24 +0000 2016,"Epitome of the Brexit vote - these caps are friends from high school, genuinely torn on how to vote. Wonder why? Stay tuned....",Ottawa,,19881665,Sun Feb 01 22:48:23 +0000 2009,
3467,Thu Jun 23 00:44:24 +0000 2016,RT @iamsrk: I c this trend in News where leaving of someone or something is headlined as Rexit or Brexit.So if I leave from sumwhere  am I…,,,4430097885,Wed Dec 09 20:24:41 +0000 2015,
3468,Thu Jun 23 00:44:25 +0000 2016,"RT @Dwalingen: ""Britain. 
We are counting on you to Brexit.
It will set us all free.""
All European Nations
#Brexit #VoteLeave #EU https://t…","England, United Kingdom",,4019366297,Thu Oct 22 20:39:02 +0000 2015,Brexit;VoteLeave;EU
3469,Thu Jun 23 00:44:25 +0000 2016,"In the Science of Civilizations, Brexit Is the European Union’s Reckoning https://t.co/Vd9FOzbNIz",,,17451974,Mon Nov 17 22:08:35 +0000 2008,
3470,Thu Jun 23 00:44:25 +0000 2016,"RT @thehill: Trump on Brexit: ""I don’t think anybody should listen to me"" https://t.co/eG8h3zGKAR https://t.co/Xpx22pCBtx","ÜT: 42.734808,-84.560297",,15078634,Tue Jun 10 22:25:10 +0000 2008,
3471,Thu Jun 23 00:44:26 +0000 2016,RT @EWErickson: Yes to the Brexit. No to the EU. https://t.co/TE6fXVsf1q,Derbyshire,,526836307,Fri Mar 16 22:02:45 +0000 2012,
3472,Thu Jun 23 00:44:26 +0000 2016,RT @BringMN: You might have seen the word ‘Brexit’ this week – here’s what it means https://t.co/JVUitTZsXI https://t.co/HBMXaW0Hbq,,,1906091047,Thu Sep 26 01:17:10 +0000 2013,
3473,Thu Jun 23 00:44:26 +0000 2016,"Transylvania joining EU could see one million vampires in UK by 2020 - https://t.co/MFPpfQ94Hi 
#Brexit","London, England",,20937305,Sun Feb 15 21:08:40 +0000 2009,Brexit
3474,Thu Jun 23 00:44:27 +0000 2016,@Stana_Katic What's your opinion on the Brexit ? Do you think it should happen or not ?,"Love Stana Katic, Always♥",,2770148866,Sun Sep 14 15:14:21 +0000 2014,
3475,Thu Jun 23 00:44:27 +0000 2016,"RT @DuncanEwart: The night before this referendum there is an actual ominous storm. With foreboding thunder and everything!
#brexit #refere…",OR,,21166061,Wed Feb 18 03:45:48 +0000 2009,brexit;referendum
3476,Thu Jun 23 00:44:25 +0000 2016,"#brexit UK polls show shift towards 'Remain' for EU vote 
https://t.co/6IKR33I2WF https://t.co/bdRLwIFRmE",Singapore,,1131352537,Tue Jan 29 15:29:19 +0000 2013,brexit
3477,Thu Jun 23 00:44:27 +0000 2016,"RT @theordinaryman2: Cameron's deal has been rubished even by the #EU President ?

#EURef #VoteLeave #Brexit #VoteRemain #InOrOut #Labour h…",wickford,,1227616178,Thu Feb 28 14:00:08 +0000 2013,EU;EURef;VoteLeave;Brexit;VoteRemain;InOrOut;Labour
3478,Thu Jun 23 00:44:27 +0000 2016,RT @KennedyNation: I'm all for the #Brexit. You? The #partypanel is split and we'll set each other straight on #Kennedy in moments on @FoxB…,"Carlsbad, CA, USA",,340528245,Fri Jul 22 21:02:04 +0000 2011,Brexit;partypanel;Kennedy
3479,Thu Jun 23 00:44:27 +0000 2016,"RT @thehill: Trump on Brexit: ""I don’t think anybody should listen to me"" https://t.co/eG8h3zGKAR https://t.co/Xpx22pCBtx",Sunny FL,,25562825,Fri Mar 20 19:47:30 +0000 2009,
3480,Thu Jun 23 00:44:28 +0000 2016,RT @Zemindar1: Love this list-how can anyone vote stay? https://t.co/50lUlRPgNf,,,705674442412793856,Fri Mar 04 08:41:12 +0000 2016,
3481,Thu Jun 23 00:44:29 +0000 2016,RT @TechnicallyRon: I did a FB #EUref post because I am that person apparently https://t.co/hoasLwGL5m,Northampton ,,55553435,Fri Jul 10 12:57:57 +0000 2009,EUref
3482,Thu Jun 23 00:44:29 +0000 2016,it's voting day people of Britain! #VoteRemain in the #EUref,james and lily potter ♡ ,,117541163,Thu Feb 25 21:47:12 +0000 2010,VoteRemain;EUref
3483,Thu Jun 23 00:44:30 +0000 2016,"As a true Brit, I've seen my country decimated financially by the EU its time to take back control as a world leader https://t.co/HEAfotls9L",Canada / England,,85895621,Wed Oct 28 19:45:00 +0000 2009,
3484,Thu Jun 23 00:44:30 +0000 2016,"RT @VOTELEAVEWOLVES: Make your #Vote count #VoteLeave on June 23rd, the #UK needs a change of direction. https://t.co/aI3Q0wmhx5",,,718820456783036417,Sat Apr 09 15:18:46 +0000 2016,Vote;VoteLeave;UK
3485,Thu Jun 23 00:44:31 +0000 2016,"That expresses how much power they want to take away from us, they want to diminish us into insignificant beings. https://t.co/7oYFKHDcQt",,,265298637,Sun Mar 13 09:46:09 +0000 2011,
3486,Thu Jun 23 00:44:31 +0000 2016,"@jeremycorbyn No they didn't, this is nonsense. more lies from project fear! BREXIT",,,4295625376,Fri Nov 27 11:11:03 +0000 2015,
3487,Thu Jun 23 00:44:31 +0000 2016,"@FawkeEU Takes believer in free markets to understand them maybe, EU isn't one for sure, but Brexit doesn't make UK one either, just poorer",,,203952019,Sun Oct 17 15:39:35 +0000 2010,
3488,Thu Jun 23 00:44:32 +0000 2016,confused about the #thunder? this is natures way of reducing us to nothing and telling us to vote remain in the #EUref,"Stratford, London",,2909802316,Sun Dec 07 19:56:06 +0000 2014,thunder;EUref
3489,Thu Jun 23 00:44:33 +0000 2016,RT @IAm2skilled: 100 reasons to #VoteLeave share and RT! #Brexit https://t.co/ODMDi0ylRu,,,3878109028,Tue Oct 06 06:17:47 +0000 2015,VoteLeave;Brexit
3490,Thu Jun 23 00:44:34 +0000 2016,"RT @theordinaryman2: its your choice ?
the big #migration debate ?

 #EURef #VoteLeave #Brexit #VoteRemain #InOrOut #Labour #VoteOUT https:…","Belfast, Northern Ireland",,2796707943,Tue Sep 30 23:43:25 +0000 2014,migration;EURef;VoteLeave;Brexit;VoteRemain;InOrOut;Labour;VoteOUT
3491,Thu Jun 23 00:44:35 +0000 2016,"UK goes to polls in EU referendum. 
Overseas votes go into overall count too; could have significant impact #EUref  https://t.co/vrtuzn8c4D",Scotland,,19419929,Fri Jan 23 23:03:35 +0000 2009,EUref
3492,Thu Jun 23 00:44:35 +0000 2016,"RT @VladimirMatern: Lets make Britain Great Again and vote #Brexit.
#VoteLeave #NoThanksEU #EUreferendum #StrongerIn #VoteRemain #Remain ht…",UK,,27839828,Tue Mar 31 08:55:48 +0000 2009,Brexit;VoteLeave;NoThanksEU;EUreferendum;StrongerIn;VoteRemain;Remain
3493,Thu Jun 23 00:44:35 +0000 2016,"RT @micahhyo: All professional traders know to plan your attack on the charts, not the headline #Brexit","Chicago, IL",,2361764215,Tue Feb 25 22:49:57 +0000 2014,Brexit
3494,Thu Jun 23 00:44:35 +0000 2016,All those who are #VoteRemain remember you are voting on Friday. #BREXIT #Voteleave #EUreferendum #EUref  https://t.co/PG9QNrbn6d,Teesside,,4387508296,Sat Dec 05 22:23:15 +0000 2015,VoteRemain;BREXIT;Voteleave;EUreferendum;EUref
3495,Thu Jun 23 00:44:35 +0000 2016,#MAGA #Brexit are on the same side of the most important movement in our lifetimes.  https://t.co/KDU1QGPrXn,United States,,718224168425271296,Thu Apr 07 23:49:20 +0000 2016,MAGA;Brexit
3496,Thu Jun 23 00:44:35 +0000 2016,"RT @TheGreenParty: You're far more likely to have an EU migrant treating you in the NHS, than queuing up behind you. #GreenerIN #EURef
http…","Nottingham, England",,3346955393,Fri Jun 26 21:42:51 +0000 2015,GreenerIN;EURef
3497,Thu Jun 23 00:44:35 +0000 2016,RT @TimeOutArt: Turner Prize-winner Wolfgang Tillmans wrote us a brilliant column all about #Brexit and his recent poster campaign https://…,New York and London,,242477152,Mon Jan 24 21:46:18 +0000 2011,Brexit
3498,Thu Jun 23 00:44:36 +0000 2016,RT @AMTrump4PRES: I'd like 2 dedicate this tweet 2 former lovely cultures that will only B found between the pages of a book. #Brexit https…,,,29534413,Tue Apr 07 20:20:34 +0000 2009,Brexit
3499,Thu Jun 23 00:44:37 +0000 2016,RT @Forbes: Poll: 80% of Americans think Britain should leave the EU https://t.co/EPNk488c9h https://t.co/3mqaV8v5KD,"Manhattan, NY",,16088522,Mon Sep 01 21:57:34 +0000 2008,
3500,Thu Jun 23 00:44:37 +0000 2016,"If you check the latest Brexit polls, either leave or remain seem to be just in the lead depending on which poll you are looking at.",Bangkok,,144787587,Mon May 17 08:58:45 +0000 2010,
3501,Thu Jun 23 00:44:37 +0000 2016,"RT @Scribbles646: @BBCNews @David_Cameron I'm an economist, and I'll tell you the majority of econ claims of #Remain are false or greatly e…","London, UK",,296684416,Wed May 11 07:01:10 +0000 2011,Remain;EUref
3502,Thu Jun 23 00:44:37 +0000 2016,RT @TheBrandonMorse: This is an awesome pic. #Brexit https://t.co/sqsLiEmlMz,,,2232869809,Fri Dec 06 11:58:22 +0000 2013,Brexit
3503,Thu Jun 23 00:44:37 +0000 2016,"RT @theordinaryman2: as long as Britain #Remain s in #EU we will not move forward

#EURef #VoteLeave #Brexit #INorOUT #ImIN #ImOUT https://…",wickford,,1227616178,Thu Feb 28 14:00:08 +0000 2013,Remain;EU;EURef;VoteLeave;Brexit;INorOUT;ImIN;ImOUT
3504,Thu Jun 23 00:44:37 +0000 2016,"RT @IngrahamAngle: Bono, Beckham &amp; every other global celeb in Britain ag #Brexit. Follow the $--&gt; globalization great for them, horrid for…",,,126680535,Fri Mar 26 17:04:34 +0000 2010,Brexit
3505,Thu Jun 23 00:44:38 +0000 2016,It's the day #VoteLeave,"Sheffield, England",,495894714,Sat Feb 18 12:20:13 +0000 2012,VoteLeave
3506,Thu Jun 23 00:44:38 +0000 2016,"RT @micahhyo: Very large waste of time trying to predict #Brexit outcome. Instead, have a game plan for all possible scenarios to profit on…","Chicago, IL",,2361764215,Tue Feb 25 22:49:57 +0000 2014,Brexit
3507,Thu Jun 23 00:44:39 +0000 2016,theres a storm going on rn and if this was a novel it would be foreshadowing brexit: splitting the union like lightning splits the sky,,,2256923322,Sat Dec 21 20:52:54 +0000 2013,
3508,Thu Jun 23 00:44:39 +0000 2016,"RT @DancerGuard: ProEU Labour campaign says there's ""no going back"", wooooh!
It's an attractive prospect for most people! #VoteLeave https:…",,,2622794806,Thu Jun 19 11:25:35 +0000 2014,VoteLeave
3509,Thu Jun 23 00:44:39 +0000 2016,"Beware choppy Brexit trading, banks warn clients: LONDON, June 22 (IFR) - Enter at your… https://t.co/nBB2TvaK9X #vk",United States,,754810604,Mon Aug 13 09:34:43 +0000 2012,vk
3510,Thu Jun 23 00:44:39 +0000 2016,"RT @_AnimalAdvocate: #NHS is only working cos skilled immigrants
help run it &amp; contribute £ to #UK

#Brexit is #Ukip xenophobic #Bullshit h…",,,2800044191,Thu Oct 02 13:56:06 +0000 2014,NHS;UK;Brexit;Ukip;Bullshit
3511,Thu Jun 23 00:44:40 +0000 2016,RT @VOTELEAVEWOLVES: #Brexit The Movie ~ Watch &amp; Learn #VoteLeave https://t.co/swJkTEqp8i,"Goiânia, Brasil",,742758508450488320,Tue Jun 14 16:40:03 +0000 2016,Brexit;VoteLeave
3512,Thu Jun 23 00:44:41 +0000 2016,RT @CNBC: Cramer: Brexit fears are totally overblown https://t.co/3LmQ1vrszR,"Alicante, Spain",,2290924114,Sun Jan 19 03:41:50 +0000 2014,
3513,Thu Jun 23 00:44:42 +0000 2016,"RT @FrenchForTrump: #BREXIT 🇬🇧VOTE
MAKE UK GREAT AGAIN
TIME TO LEAVE EU
#MakeEuropeGreatAgain
THIS IS OUR FREEDOM
#MakeAmericaGreatAgain ht…",United States,,2440585071,Thu Mar 27 20:00:35 +0000 2014,BREXIT;MakeEuropeGreatAgain;MakeAmericaGreatAgain
3514,Thu Jun 23 00:44:42 +0000 2016,Nasty thunderstorm. Will rain stop play. #EUref,London,,46047968,Wed Jun 10 05:45:13 +0000 2009,EUref
3515,Thu Jun 23 00:44:42 +0000 2016,"Trump on Brexit: ""I don’t think anybody should listen to me"". He probably thinks Brexit is a city in Belgium.",5 admins scattered in US & EU,,940832767,Sun Nov 11 08:26:50 +0000 2012,
3516,Thu Jun 23 00:44:42 +0000 2016,Brexit polls split as Britain prepares to vote in EU referendum https://t.co/C9GcRUOhpC,"Lagos, Nigeria",,133396574,Thu Apr 15 17:35:40 +0000 2010,
3517,Thu Jun 23 00:44:42 +0000 2016,Freedom is at stake! Sovereignty matters. #Brexit #Leave,"College Station, TX",,16052860,Sat Aug 30 08:54:34 +0000 2008,Brexit;Leave
